sex,rep,line,f1,f2,f3,f4,f5
2,4,180,26,39,44,29,42
2,4,181,45,18,22,25,27
2,4,182,5,5,35,16,23
2,4,183,41,40,52,26,16
2,4,184,37,38,39,39,27
2,4,185,24,22,40,36,30
2,4,186,21,21,38,36,34
2,4,187,45,41,19,22,NA
2,4,188,47,27,42,34,32
2,4,189,24,32,21,0,29
2,4,190,9,41,47,23,23
2,4,191,13,16,18,27,20
2,4,192,11,44,50,51,34
2,4,193,18,27,34,39,39
2,4,194,36,44,20,22,27
2,4,195,37,11,28,51,31
2,4,196,47,49,36,51,40
2,4,197,8,46,40,37,30
2,4,198,46,40,54,57,24
2,4,199,13,0,38,14,16
2,4,200,57,40,44,40,43
2,4,201,28,38,44,39,19
2,4,202,22,44,44,29,46
